SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
022906;MAKROINDO;nestlept;06013;06D01;I;N;N;;A;makroptmkb;;;;
022906;MAKROINDO;nestlept;06027;06D01;I;N;N;;A;makropttsk;;;;
022906;MAKROINDO;nestlept;06030;06D01;I;N;N;;A;makroptpknsari;;;;
022906;MAKROINDO;nestlept;06001;06D01;I;N;N;;A;makrobaru;;;;
022906;MAKROINDO;nestlept;06003;06D01;I;N;N;;A;makroptkgb;;;;
022906;MAKROINDO;nestlept;06021;06D01;I;N;N;;A;makroptjtb;;;;
022906;MAKROINDO;nestlept;06033;06D01;I;N;N;;A;makroptmnd;;;;
022906;MAKROINDO;nestlept;06026;06D01;I;N;N;;A;makroptbgr;;;;
022906;MAKROINDO;nestlept;06023;06D01;I;N;N;;A;makroptckb;;;;
022906;MAKROINDO;nestlept;06032;06D01;I;N;N;;A;makroptsmd;;;;
022906;MAKROINDO;nestlept;06D01;06D01;I;N;N;;A;makroxdocl;;;;
022906;MAKROINDO;nestlept;06019;06D01;I;N;N;;A;makroptslb;;;;
022906;MAKROINDO;nestlept;06010;06D01;I;N;N;;A;makroptmdb;;;;
022906;MAKROINDO;nestlept;06029;06D01;I;N;N;;A;makroptbtm;;;;
022906;MAKROINDO;nestlept;06017;06D01;I;N;N;;A;makroptbjb;;;;
022906;MAKROINDO;nestlept;06002;06D01;I;N;N;;A;makroptsdb;;;;
022906;MAKROINDO;nestlept;06016;06D01;I;N;N;;A;makroptygb;;;;
022906;MAKROINDO;nestlept;06039;06D01;I;N;N;;A;makropttgerang;;;;
024398;MAKROINDO;philipspt ;06027;72012690;I;Y;N;;A;makropttsk;;;;
024398;MAKROINDO;philipspt ;06031;72012690;I;Y;N;;A;makroptlmp;;;;
024398;MAKROINDO;philipspt;06003;62001286;I;Y;N;;A;makroptkgb;;;;
024398;MAKROINDO;philipspt;06016;62001286;I;Y;N;;A;makroptygb;;;;
024398;MAKROINDO;philipspt;06004;62001286;I;Y;N;;A;makroptmyb;;;;
024398;MAKROINDO;philipspt ;06028;72012690;I;Y;N;;A;makropttri;;;;
024398;MAKROINDO;philipspt ;06034;72012690;I;Y;N;;A;makroptkrwg;;;;
024398;MAKROINDO;philipspt;06D01;62004150;I;Y;N;;A;makroxdocl;;;;
